,Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,City,State
76549,20150424X81527,Accident,WPR15FA152,2015-04-22,United States,77S,Hobby Field,Fatal,Destroyed,Airplane,N1729J,piper,pa28140,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,"The noncertificated pilot's continued visual flight into instrument meteorological conditions, which resulted in spatial disorientation leading to the pilot's loss of control of the airplane and subsequent collision with mountainous terrain.  
",2015,4,22,piper pa28140,pa-28,Mt Tom, OR
76554,20150424X61110,Accident,GAA15CA049,2015-04-24,United States,CLW,CLEARWATER AIR PARK,Non-Fatal,Substantial,Airplane,N1576V,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,"The pilot's excessive airspeed during landing, which resulted in abnormal runway contact, a runway excursion, and substantial damage to the airplane.",2015,4,24,cessna 172m,172,Clearwater, FL
76566,20150507X15611,Accident,GAA15CA063,2015-04-30,United States,WHP,WHITEMAN,Non-Fatal,Substantial,Airplane,N65813,cessna,172p,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,,"The student pilot's failure to maintain attitude control during the landing flare, resulting in a hard landing.",2015,4,30,cessna 172p,172,Los Angeles, CA
76567,20150513X75952,Incident,CEN15IA230,2015-04-30,United States,,,Non-Fatal,Minor,Airplane,N49158,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The loss of engine power due to the separation of the distributor gear arm on the left magneto.,2015,4,30,cessna 152,152,Pilot Point, TX
76574,20150504X63603,Accident,CEN15LA217,2015-05-02,United States,,,Non-Fatal,Substantial,Airplane,N8558G,cessna,150f,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"A partial loss of engine power for reasons that could not be determined because a postaccident examination of the airframe and engine did not reveal any anomalies that would have precluded normal operation.",2015,5,2,cessna 150f,150,Neillsville, WI
76579,20150503X30740,Accident,ERA15FA203,2015-05-03,United States,PEO,PENN YAN,Fatal,Substantial,Airplane,N3969L,cessna,172,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,The student pilot's failure to maintain airplane control during the initial climb. Contributing to the accident was the student's inappropriate configuration of the airplane's wing flaps for the initial climb.,2015,5,3,cessna 172,172,Penn Yan, NY
76585,20150504X54010,Accident,CEN15LA216,2015-05-04,United States,HHG,HUNTINGTON MUNI,Non-Fatal,Substantial,Airplane,N8703W,piper,pa28235,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilots inadequate in-flight fuel management, which resulted in a total loss of engine power due to fuel starvation.",2015,5,4,piper pa28235,pa-28,Huntington, IN
76601,20150508X60256,Accident,GAA15CA064,2015-05-07,United States,KDAB,DAYTONA BEACH INTL,Non-Fatal,Substantial,Airplane,N5144H,cessna,172s,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,4.0,VMC,,"The landing airplane pilot's failure to maintain directional control during landing, which resulted in a runway excursion and ground collision with a taxiing airplane.",2015,5,7,cessna 172s,172,Daytona Beach, FL
76604,20150512X51815,Accident,ERA15CA209,2015-05-08,United States,,,Non-Fatal,Substantial,Airplane,N5981T,cessna,150d,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's decision to attempt an off airport takeoff, and failure to maintain adequate clearance during the initial climb in crosswind conditions, which resulted in a collision with trees.",2015,5,8,cessna 150d,150,Balsam Grove, NC
76616,20150512X33748,Accident,CEN15LA228,2015-05-12,United States,,,Non-Fatal,Substantial,Airplane,N3024S,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,,"A total loss of engine power during cruise flight due to piston fatigue cracking for reasons that could not be determined due to postfracture smearing damage. 
",2015,5,12,piper pa28161,pa-28,Ranger, TX
76619,20150603X31131,Accident,GAA15CA103,2015-05-12,United States,,,Non-Fatal,Substantial,Airplane,N56074,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during landing, which resulted in a collision with objects while attempting to abort the landing.",2015,5,12,piper pa28180,pa-28,Steele, ND
76633,20150518X12459,Accident,WPR15LA164,2015-05-16,United States,,,Non-Fatal,Substantial,Airplane,N7099R,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper in-flight fuel management, which resulted in fuel exhaustion in the selected tank, and his delayed movement of the fuel selector handle to the other tank, which resulted in a loss of engine power due to fuel starvation.",2015,5,16,piper pa28140,pa-28,El Cajon, CA
76635,20150519X90449,Accident,GAA15CA079,2015-05-16,United States,39N,PRINCETON,Non-Fatal,Substantial,Airplane,N16491,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilot's failure to maintain directional control during the landing, resulting in a runway excursion.",2015,5,16,piper pa28140,pa-28,Princeton, NJ
76638,20150518X63512,Accident,GAA15CA077,2015-05-17,United States,EGT,WELLINGTON MUNI,Non-Fatal,Substantial,Airplane,N8634U,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper flare and loss of control which resulted in a hard landing.,2015,5,17,cessna 150m,150,Wellington, KS
76639,20150519X12927,Accident,CEN15CA236,2015-05-17,United States,,,Non-Fatal,Substantial,Airplane,N1924Z,cessna,150c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The total loss of engine power due to carburetor icing.,2015,5,17,cessna 150c,150,Durango, CO
76646,20150520X41333,Accident,ERA15LA217,2015-05-19,United States,,,Non-Fatal,Substantial,Airplane,N597JG,piper,pa28181,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The failure of the No. 4 engine cylinder due to fatigue, resulting in a catastrophic failure of the engine.",2015,5,19,piper pa28181,pa-28,Corryton, TN
76661,20150526X41555,Accident,GAA15CA088,2015-05-23,United States,FWN,SUSSEX,Non-Fatal,Substantial,Airplane,N9959V,cessna,172m,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilot's failure to remove the gust lock during the preflight inspection, resulting in a loss of control and collision with trees during takeoff.",2015,5,23,cessna 172m,172,Sussex, NJ
76669,20150608X92806,Accident,GAA15CA110,2015-05-24,United States,E25,Wickenburg municipal,Non-Fatal,Substantial,Airplane,N442PA,piper,pa28181,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to monitor the airplane's wing clearance during taxi, which resulted in a collision with a parked airplane.",2015,5,24,piper pa28181,pa-28,Wickenburg, AZ
76673,20150527X11828,Accident,ERA15CA222,2015-05-25,United States,W00,FREEWAY,Non-Fatal,Substantial,Airplane,N6155K,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's improper landing flare, which resulted in a bounced landing and damage to the airplane.",2015,5,25,cessna 172p,172,Mitchellville, MD
76690,20150602X91946,Accident,GAA15CA099,2015-05-28,United States,UNV,UNIVERSITY PARK,Non-Fatal,Substantial,Airplane,N2254U,cessna,172r,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain adequate airspeed during the approach to landing which resulted in an aerodynamic stall and a hard landing.,2015,5,28,cessna 172r,172,State College, PA
76692,20150611X72534,Accident,GAA15CA119,2015-05-28,United States,BVI,BEAVER COUNTY,Non-Fatal,Substantial,Airplane,N984WU,cessna,172r,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain airplane attitude control during the landing, resulting in a hard landing.",2015,5,28,cessna 172r,172,Beaver Falls, PA
76702,20150603X42135,Accident,GAA15CA104,2015-05-30,United States,HRL,VALLEY INTL,Non-Fatal,Substantial,Airplane,N8126S,cessna,150f,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control while landing with a crosswind.,2015,5,30,cessna 150f,150,Harlingen, TX
76709,20150601X13437,Accident,ANC15LA033,2015-06-01,United States,TKA,TALKEETNA,Non-Fatal,Substantial,Airplane,N8525U,cessna,172,No,1.0,Reciprocating,Instructional,0.0,1.0,1.0,4.0,VMC,,"The other pilots failure to maintain an adequate visual lookout, which resulted in a midair collision. Contributing to the accident was the other pilots failure to follow Federal Aviation Administration-recommended traffic pattern procedures.",2015,6,1,cessna 172,172,Talkeetna, AK
76748,20150625X44335,Accident,GAA15CA136,2015-06-06,United States,9K0,COTTONWOOD FALLS,Non-Fatal,Substantial,Airplane,N2536L,cessna,172h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to attain adequate airspeed to climb the airplane out of ground effect, which resulted in an aerodynamic stall and a collision with terrain.",2015,6,6,cessna 172h,172,Cottonwood Falls, KS
76749,20150714X25655,Accident,GAA15CA179,2015-06-06,United States,ADS,ADDISON,Non-Fatal,Substantial,Airplane,N178AF,cessna,172r,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain pitch control during the landing touchdown, resulting in a hard landing.",2015,6,6,cessna 172r,172,Addison, TX
76762,20150622X43310,Accident,GAA15CA130,2015-06-09,United States,TOL,TOLEDO EXPRESS,Non-Fatal,Substantial,Airplane,N6919W,piper,pa28140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during the landing roll, resulting in a runway excursion, and a collision with a sign.",2015,6,9,piper pa28140,pa-28,Swanton, OH
76766,20150615X93647,Accident,CEN15LA270,2015-06-10,United States,JBR,Jonesboro Municipal Airport,Non-Fatal,Substantial,Airplane,N872CS,piper,pa28200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"Maintenance personnel's improper engine oil drain valve installation, which led to engine oil exhaustion and the subsequent loss of engine power after takeoff at an altitude too low for the pilot to execute a forced landing in a suitable area.",2015,6,10,piper pa28200,pa-28,Jonesboro, AR
76783,20150615X10136,Accident,ERA15LA237,2015-06-14,United States,7B3,HAMPTON AIRFIELD,Non-Fatal,Substantial,Airplane,N43078,piper,pa28,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,"The pilots failure to properly set the stabilator trim prior to takeoff, which resulted in an exceedance of the airplanes critical angle of attack and an aerodynamic stall during takeoff.",2015,6,14,piper pa28,pa-28,Hampton, NH
76802,20150624X93848,Accident,ERA15LA248,2015-06-18,United States,SGJ,NORTHEAST FLORIDA RGNL,Non-Fatal,Substantial,Airplane,N6553L,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"A partial loss of engine power for reasons that could not be determined based on the available information.",2015,6,18,cessna 152,152,St. Augustine, FL
76803,20150619X00546,Accident,CEN15FA278,2015-06-19,United States,DTN,SHREVEPORT DOWNTOWN,Fatal,Substantial,Airplane,N5743A,cessna,172,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,The pilot's loss of airplane control during initial climb after takeoff for reasons that could not be determined because an examination of the airframe and engine did not reveal any preimpact anomalies.,2015,6,19,cessna 172,172,Shreveport, LA
76813,20160128X50658,Accident,CEN15LA451,2015-06-20,United States,IN81,SMALL FIELD,Non-Fatal,Substantial,Airplane,N17292,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The partial loss of engine power due to carburetor icing.,2015,6,20,cessna 150l,150,Carthage, IN
76826,20150831X42354,Accident,GAA15CA241,2015-06-22,United States,,,Non-Fatal,Substantial,Airplane,N5210A,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"An inflight bird strike, which resulted in wing spar damage.",2015,6,22,cessna 172,172,Upperville, VA
76839,20150629X94923,Accident,GAA15CA140,2015-06-25,United States,KTVC,Cherry Capital Airport- Traver,Non-Fatal,Substantial,Airplane,N195NW,cessna,172s,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain pitch control during the landing, resulting in a hard landing.",2015,6,25,cessna 172s,172,Traverse City, MI
76843,20150702X44556,Accident,GAA15CA156,2015-06-26,United States,VEL,VERNAL RGNL,Non-Fatal,Substantial,Airplane,N3159E,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control during landing in crosswind conditions, which resulted in a runway excursion and an impact with an airport sign.",2015,6,26,cessna 172n,172,Vernal, UT
76856,20150629X64512,Accident,GAA15CA146,2015-06-28,United States,MDQ,HUNTSVILLE EXECUTIVE AIRPORT T,Non-Fatal,Substantial,Airplane,N19337,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain pitch control during the landing touchdown, resulting in a porpoise, and firewall damage.",2015,6,28,cessna 150l,150,Huntsville, AL
76857,20150630X34507,Accident,GAA15CA149,2015-06-28,United States,DVO,NOVATO,Non-Fatal,Substantial,Airplane,N9069J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,2.0,VMC,,"The pilot's improper pitch control which resulted in a bounced landing, runway excursion, and collision with terrain.",2015,6,28,piper pa28180,pa-28,Novato, CA
76879,20150703X91507,Accident,ERA15LA257,2015-07-01,United States,HLX,Twin County Airport,Non-Fatal,Substantial,Airplane,N43503,piper,pa28,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,"The pilot's failure to maintain adequate airspeed while turning onto the final approach leg of the traffic pattern, which led to the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall.",2015,7,1,piper pa28,pa-28,Galax Hillsville, VA
76890,20150703X93830,Accident,CEN15FA289,2015-07-03,United States,,,Fatal,Destroyed,Airplane,N62681,cessna,172p,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,"The pilots loss of airplane control for reasons that could not be determined because an examination of the airplane did not reveal any preimpact abnormalities. ",2015,7,3,cessna 172p,172,Bartlett, IL
76891,20150706X05023,Accident,CEN15LA292,2015-07-03,United States,,,Non-Fatal,Substantial,Airplane,N2320U,cessna,172d,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilot's delayed application of carburetor heat, which resulted in the total loss of engine power due to carburetor icing during cruise flight.",2015,7,3,cessna 172d,172,Shenandoah, TX
76892,20150707X72048,Accident,GAA15CA162,2015-07-03,United States,LBB,LUBBOCK PRESTON SMITH INTL,Non-Fatal,Substantial,Airplane,N6326J,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper flare during landing which resulted in abnormal runway contact and damage to the firewall.,2015,7,3,cessna 172n,172,Lubbock, TX
76914,20150707X22207,Accident,ERA15MA259,2015-07-07,United States,MKS,BERKELEY COUNTY,Fatal,Destroyed,Airplane,N3601V,cessna,150m,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,VMC,,"The approach controller's failure to provide an appropriate resolution to the conflict between the F-16 and the Cessna. Contributing to the accident were the inherent limitations of the see-and-avoid concept, resulting in both pilots' inability to take evasive action in time to avert the collision.",2015,7,7,cessna 150m,150,Moncks Corner, SC
76919,20150709X65917,Accident,CEN15LA301,2015-07-08,United States,,Private,Non-Fatal,Substantial,Airplane,N3949K,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,The pilot's inadequate preflight planning resulting in the airplane not having adequate performance to climb and clear the trees off the end of the dirt runway.,2015,7,8,piper pa28140,pa-28,Oakdale, LA
76952,20150716X85404,Accident,WPR15CA214,2015-07-15,United States,K69S,Avey Field,Non-Fatal,Substantial,Airplane,C-GDYN,piper,pa28151,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilot's inadequate decision to continue the approach, which resulted in a  long landing and insufficient runway remaining to stop the airplane before it departed the end of the runway.",2015,7,15,piper pa28151,pa-28,Laurier, WA
76966,20150721X83402,Accident,CEN15LA309,2015-07-17,United States,ANE,ANOKA COUNTY-BLAINE ARPT(JANES,Non-Fatal,Substantial,Airplane,N6511V,cessna,172rg,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,Failure of the left landing gear actuator for reasons that could not be determined because the actuator was not made available for examination.,2015,7,17,cessna 172rg,172,Anoka, MN
76976,20150719X02305,Accident,WPR15LA217,2015-07-19,United States,KHND,Henderson Exec,Non-Fatal,Destroyed,Airplane,N8740E,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,,"The engine's inability to produce full-rated power due to wear on internal engine components, which resulted in a loss of altitude and subsequent landing on uneven terrain. Contributing to the accident was the airplane owner's failure to maintain the engine in accordance with the manufacturer's recommended guidance.",2015,7,19,piper pa28181,pa-28,Las Vegas, NV
76978,20150721X30025,Accident,ERA15LA274,2015-07-19,United States,LDJ,LINDEN,Non-Fatal,Substantial,Airplane,N962SP,cessna,172s,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,"The pilots delayed decision to reject the takeoff, which resulted in a runway overrun. Contributing to the accident was the pilots failure to properly configure the flaps for maximum takeoff performance with the airplane near its maximum gross weight. ",2015,7,19,cessna 172s,172,Linden, NJ
76987,20150729X83049,Accident,ANC15CA058,2015-07-20,United States,,,Non-Fatal,Substantial,Airplane,N3392J,cessna,150g,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's improper decision to land on an unsuitable landing surface which resulted in a nose over.,2015,7,20,cessna 150g,150,Mekoryuk, AK
77011,20150729X01126,Accident,ERA15LA289,2015-07-23,United States,FXE,Fort Lauderdale Executive,Non-Fatal,Substantial,Airplane,N4631J,piper,pa28r180,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The undetected fatigue cracks in the engine and nose landing gear (NLG) strut mount assembly, which prevented the proper alignment of the NLG after it was extended and the pilots from being able to maintain directional control after touchdown.",2015,7,23,piper pa28r180,pa-28,Fort Lauderdale, FL
77013,20150803X45031,Accident,GAA15CA208,2015-07-23,United States,OVO,NORTH VERNON,Non-Fatal,Substantial,Airplane,N133VU,cessna,172r,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain pitch control during the landing touchdown, resulting in a hard landing.",2015,7,23,cessna 172r,172,North Vernon, IN
77014,20150810X74120,Accident,GAA15CA220,2015-07-23,United States,X04,ORLANDO APOPKA,Non-Fatal,Substantial,Airplane,N704SB,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"Following a bird strike during takeoff, the pilot's decision to land without sufficient runway remaining to safely stop the airplane, which resulted in an over-run, collision with terrain, and nose over.",2015,7,23,cessna 150m,150,Apopka, FL
77021,20150729X33718,Accident,CEN15FA325,2015-07-24,United States,TCS,TRUTH OR CONSEQUENCES MUNI,Fatal,Substantial,Airplane,N32401,piper,pa28151,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,The student pilot's improper decision to conduct a flight in dark night conditions without a solo night flight endorsement and his subsequent loss of airplane control.,2015,7,24,piper pa28151,pa-28,Truth or Consequences, NM
77030,20150728X50919,Accident,ERA15LA285,2015-07-25,United States,CKZ,Pennridge Airport,Non-Fatal,Substantial,Airplane,N777EX,piper,pa28151,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to use the mixture control to override a throttle anomaly and reduce engine power, which resulted in excessive airspeed upon landing and a subsequent runway overrun. Contributing to the accident was the pilots inability to reduce the engine power via the throttle control for reasons that could not be determined because a postaccident examination and test run of the engine revealed no anomalies.",2015,7,25,piper pa28151,pa-28,Perkasie, PA
77079,20150806X02755,Accident,GAA15CA214,2015-08-03,United States,TMB,MIAMI EXECUTIVE,Non-Fatal,Substantial,Airplane,N6223D,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain pitch control resulting in a hard landing and damage to the airplane firewall.,2015,8,3,cessna 172n,172,Miami, FL
77080,20150807X60314,Accident,WPR15LA237,2015-08-03,United States,,,Non-Fatal,Substantial,Airplane,N7963C,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,"The low flight time pilot's inadequate in-flight fuel planning, which resulted in fuel exhaustion, a loss of engine power, and an off-airport landing in rough terrain.",2015,8,3,piper pa28181,pa-28,American Falls, ID
77089,20150806X65750,Accident,GAA15CA216,2015-08-05,United States,49A,GILMER COUNTY,Non-Fatal,Substantial,Airplane,N3568V,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to attain and maintain sufficient airspeed during takeoff which resulted in a descent, loss of directional control, and a runway excursion.",2015,8,5,cessna 150m,150,Ellijay, GA
77108,20150810X22742,Accident,CEN15LA343,2015-08-08,United States,,Private Airstrip,Non-Fatal,Substantial,Airplane,N5800R,cessna,172g,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,"The pilots decision to use an excessive, unapproved flap setting for takeoff, which significantly increased the induced drag and resulted in an aerodynamic stall when the airplane flew out of ground effect.",2015,8,8,cessna 172g,172,Hartington, NE
77117,20150810X43046,Accident,ERA15LA301,2015-08-09,United States,ISM,Kissimmee Gateway,Non-Fatal,Substantial,Airplane,N8370X,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The student pilot's inadequate preflight inspection of the fuel system, which resulted in a total loss of engine power due to fuel contamination.",2015,8,9,cessna 172,172,Kissimmee, FL
77124,20150810X33043,Accident,ERA15FA299,2015-08-10,United States,MTH,THE FLORIDA KEYS MARATHON,Fatal,Destroyed,Airplane,N54380,piper,pa28r,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain a positive climb rate after takeoff due to spatial disorientation while turning after takeoff in dark night conditions in a sparsely populated area, which resulted in the airplanes descent into water. Contributing to the accident was the pilot's decision to depart on a night flight over water.",2015,8,10,piper pa28r,pa-28,Marathon, FL
77132,20150817X70324,Accident,CEN15LA361,2015-08-11,United States,MO8,NORTH CENTRAL MISSOURI RGNL,Non-Fatal,Substantial,Airplane,N8896U,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to visually check the quantity of fuel in the fuel tanks in accordance with the Preflight checklist, which resulted in a loss of engine power due to fuel exhaustion and the subsequent forced landing.",2015,8,11,cessna 150,150,Brookfield, MO
77155,20150820X14230,Accident,CEN15LA371,2015-08-15,United States,NONE,Port Eads,Non-Fatal,Substantial,Airplane,N1805Y,cessna,172c,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The pilot's failure to attain a safe landing approach airspeed with a crosswind.,2015,8,15,cessna 172c,172,Venice, LA
77157,20150816X35140,Accident,ERA15LA315,2015-08-16,United States,HEF,Manassas Regional Airport,Non-Fatal,Substantial,Airplane,N82587,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,,"The student pilots failure to maintain altitude during approach, which resulted in controlled flight into terrain. Contributing to the accident was the students distraction due to other traffic in the airport traffic pattern.",2015,8,16,piper pa28161,pa-28,Bristow, VA
77158,20150816X60452,Accident,WPR15MA243,2015-08-16,United States,SDM,BROWN FIELD MUNI,Fatal,Destroyed,Airplane,N1285U,cessna,172m,No,1.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,,"The local controller's (LC) failure to properly identify the aircraft in the pattern and to ensure control instructions provided to the intended Cessna on downwind were being performed before turning Eagle1 into its path for landing. Contributing to the LC's actions was his incomplete situational awareness when he took over communications from the LC trainee due to the high workload at the time of the accident. Contributing to the accident were the inherent limitations of the see-and-avoid concept, resulting in the inability of the pilots involved to take evasive action in time to avert the collision.",2015,8,16,cessna 172m,172,San Diego, CA
77170,20150817X00729,Accident,ERA15LA318,2015-08-17,United States,,,Non-Fatal,Substantial,Airplane,N84308,cessna,172k,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The partial loss of engine power during cruise flight for reasons that could not be determined because a postaccident airframe and engine examination and engine test run revealed no evidence of mechanical malfunctions or failures.,2015,8,17,cessna 172k,172,Chiefland, FL
77183,20150824X12045,Accident,GAA15CA235,2015-08-19,United States,S27,Kalispell,Non-Fatal,Substantial,Airplane,N733NH,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's loss of directional control, which resulted in a runway excursion, and collision with runway and taxiway lights and terrain.",2015,8,19,cessna 172n,172,Kalispell, MT
77186,20150820X12626,Accident,WPR15FA247,2015-08-20,United States,,,Fatal,Substantial,Airplane,N62731,cessna,172p,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,"The non-instrument-rated pilot's decision to conduct a cross-country flight over a mountain range in dark night conditions with limited night flight experience, which resulted in a collision with mountainous terrain.",2015,8,20,cessna 172p,172,Townsend, MT
77190,20150825X00118,Accident,CEN15FA378,2015-08-21,United States,,,Fatal,Substantial,Airplane,N8265B,cessna,172,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,The non-certificated pilot's failure to maintain clearance from terrain.,2015,8,21,cessna 172,172,Martinville, IL
77197,20150824X05749,Accident,ERA15LA323,2015-08-22,United States,,,Non-Fatal,Substantial,Airplane,N4057V,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"A short circuit of unknown origin, which resulted in electrical arcing in the engine compartment and smoke in the cockpit, which necessitated a precautionary landing to a field.",2015,8,22,cessna 150,150,Dorado, PR
77199,20150827X40535,Accident,ERA15CA327,2015-08-22,United States,,,Non-Fatal,Substantial,Airplane,N8952B,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to apply carburetor heat prior to descending in atmospheric conditions conducive to icing, which resulted in a total loss of power.",2015,8,22,cessna 172,172,Riviera Beach, FL
77209,20150826X64508,Accident,GAA15CA237,2015-08-23,United States,SGH,SPRINGFIELD-BECKLEY MUNI,Non-Fatal,Substantial,Airplane,N691SP,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The pilot's improper pitch control during landing, which resulted in a hard landing.",2015,8,23,cessna 172,172,Springfield, OH
77215,20150827X25640,Accident,GAA15CA239,2015-08-26,United States,SVE,SUSANVILLE MUNI,Non-Fatal,Substantial,Airplane,N1417X,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain airspeed control during the landing in gusty wind conditions, resulting in an abnormal runway contact, and collision with terrain.",2015,8,26,piper pa28180,pa-28,Susanville, CA
77218,20150827X63051,Accident,GAA15CA240,2015-08-26,United States,54J,DEFUNIAK SPRINGS,Non-Fatal,Substantial,Airplane,N7215W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during the landing roll in crosswind conditions, which resulted in a runway excursion, and collision with a ditch.",2015,8,26,piper pa28180,pa-28,DeFuniak Springs, FL
